Name,Playlist ID,Radio Dito,Radio Dito 2
albumsImCheckingOut,0wtAMAn6DGm6DkLfhVY8bb,8,0
britpop,37i9dQZF1DXaVgr4Tx5kRF,4,0
new wave,37i9dQZF1DX3Gj7nguS95W,3,0
top 50 indonesia,37i9dQZEVXbObFQZ3JLcXt,4,0
indienesia,37i9dQZF1DXd82NU5rAcTZ,4,0
bossanova,37i9dQZF1DX4AyFl3yqHeK,2,6
psychedelic rock,37i9dQZF1DWSDoVybeQisg,4,0
new albums,https://open.spotify.com/playlist/22TmvCaJtRokjFhbcvccBM?si=c73121650acb47a5,4,0
nostalgia,3A1xz0W6FRJmTrYZ79qPlu,7,8
nostalgia indo,37i9dQZF1DX7a4NCzIrIfF,3,8
new music friday,37i9dQZF1DX4JAvHpjipBk,7,0
nu metal,https://open.spotify.com/playlist/1swRuojRHput4jSg7uEs1j?si=ec5efa99d3214bed,4,0
new_music_friday_picks,5L5zbeTKF6HpqwWDaE2yUU,5,0
liked_songs_picks,7Mg6Fvaq1YoQKOPeTqv3BQ,5,0
todays top hits,37i9dQZF1DXcBWIGoYBM5M,3,0
us viral,37i9dQZEVXbKuaTI1Z1Afx,1,0
weezer,37i9dQZF1DZ06evO1VmDYs,2,0
city pop,7KFoK4LJ23EncELJwYmTDG,0,4
big on the internet,https://open.spotify.com/playlist/37i9dQZF1DX5Vy6DFOcx00?si=1b7849a2a5c4420e,2,0
easy 70s,https://open.spotify.com/playlist/37i9dQZF1DWSWNiyXQAvbl?si=de61a9ea7c924f0d,2,3
rock this,37i9dQZF1DXcF6B6QPhFDv,2,0
hyperpop,https://open.spotify.com/playlist/37i9dQZF1DX7HOk71GPfSw?si=6f050a1805a64ede,1,0
mellow,3LY9SdE5EiMMJPv4uFMxJ2,0,5
folk accoustic,37i9dQZF1EQp62d3Dl7ECY,2,6
joe hisaishi,37i9dQZF1DXapA9ZXglqsQ,0,2
ao60s,37i9dQZF1DXaKIA8E7WcJj,1,2
soul,37i9dQZF1EQntZpEGgfBif,2,8
allOut50s,37i9dQZF1DWSV3Tk4GO2fq,1,2
alt00s,37i9dQZF1DX0YKekzl0blG,4,0
classic punk,37i9dQZF1DX3LDIBRoaCDQ,1,1
early alt,37i9dQZF1DXdTCdwCKzXwo,1,0
metal,0zAr4HZzDh96prldsNDqX6,2,0
80s hits,37i9dQZF1DXb57FjYWz00c,5,3
alt90s,37i9dQZF1DXaLI8a395lse,2,4
70s,37i9dQZF1DWTJ7xPn4vNaz,2,4
sparks,4bvmefDNk1rZU4VqssG6Us,0,0
stevie_wonder,1Uz2ewvEvZuyXcVc3qNU1t,0,0
bubblegum,14ucfZo24A8ozPjP3V3RPJ,0,0
morgan wallen,6BeaLXOzzIOpAxvZcSjIx8,0,0
akiko,6RjmQwF8psCwXdnuvsVbk4,0,0
bach,14UQfeSqQN2n5I4YdVmNfR,0,0
beethovenByAshkenazy,1mbbu0AJO5JjAo28dKa9YJ,0,0
elliot_smith,62aN2my6aMlSgQP38LJSMM,0,0
irish,https://open.spotify.com/playlist/4WhTieny42LdYcNovXmTc8?si=16409c92f31a4e16,0,0
scottish,https://open.spotify.com/playlist/37i9dQZF1DX11VZ9hcBiq6?si=5b105dd637194d1d,0,0
scottish_folk,20cC2J8kzgIRnjE4CD6Ltq,0,0
shirley and dolly radio,https://open.spotify.com/playlist/37i9dQZF1E4tKnPdn3fHTb?si=c265f7ff35654c41,0,0
workout pop,https://open.spotify.com/playlist/37i9dQZF1DX70RN3TfWWJh?si=4ff1a00f45284135,0,3
beast mode rock,https://open.spotify.com/playlist/37i9dQZF1DWZYWNM3NfvzJ?si=abe07658aec1436b,0,0
most necessary,https://open.spotify.com/playlist/37i9dQZF1DX2RxBh64BHjQ?si=50c8a9139d384516,0,4
rap caviar,https://open.spotify.com/playlist/37i9dQZF1DX0XUsuxWHRQd?si=dff3d14fe4d04d48,0,4
reggae,37i9dQZF1EQpjs4F0vUZ1x,0,4
elvis,3hXumKbGSTbbDOGUr6GuFe,0,0
loretta_lynn,3yzm07BNyEJUWcrR6NQtbL,0,0
obscureWeezer,2Sc5hSQONQ70YV9GrkzVW2,0,0
springsteen,41WEATzIobofALsDrbxlPd,0,0
suzyList,2E7oEHuMn36TUxh5g4eB62,0,0
suzyModelAlbums,3mkwtJCI0jCdmwTm9AcXzc,0,0
upcoming_setlist,1TCFS7tftwU712u4uCefXT,0,0
alt10s,37i9dQZF1DX873GaRGUmPl,0,0
favalbums,6Kc6fUaWTyN8hhNe9a2iZm,0,0